real_A1, imag_A1, real_A2, imag_A2, tlast
ef0b, 5125, 4dda, 0050, 0
ea46, 517e, c784, 3b9c, 0
07a4, 0f90, f3ed, d331, 0
430a, 224d, e1d0, 476a, 0
ce63, 10e3, e885, 9918, 0
e945, a898, 6542, 066c, 0
a796, ef03, 0656, 48be, 0
f0d2, d73f, 145d, fbd0, 0
e5ea, 9ee1, f661, bbf2, 0
2a5a, c0b0, fde6, 43c9, 0
3215, 322d, fed3, 5b95, 0
d108, bb17, 62fc, 01fb, 0
b266, e414, 4984, 0be6, 0
c14d, d1a8, 2ea7, 1ee4, 0
29d7, 218f, d213, f9f0, 0
07bd, 295a, 2840, ccdb, 0
601c, f8a3, edd0, 5a77, 1
cbca, 477d, ab75, d6d2, 0
105c, 32e0, 0b55, fcbe, 0
17f3, ae91, 207e, 5538, 0
dadb, aed0, aead, 13b7, 0
2a57, c710, cda1, 2d64, 0
f309, 39a1, 0620, fa25, 0
eafc, 59b5, 50e8, e16f, 0
d4c1, ae33, d232, 31b2, 0
ee04, 65dc, c026, ee1e, 0
fd32, 7c6f, 03b8, dad9, 0
feed, 618a, 54da, f973, 0
58c0, 02ce, ee1b, 6393, 0
ed20, 2539, 6d65, 06d0, 0
f29a, e158, f657, 8e2e, 0
37c1, f5cb, 16e7, 355a, 0
fee1, 64d6, ceb0, 0d04, 0
e989, da36, c50f, e8f2, 0
cb7a, 2c0c, 321f, e324, 0
e4b7, 247c, ec9a, dba5, 0
031b, 1511, 066e, 4ea3, 1
404a, 3166, 5474, ddd8, 0
298b, fa5b, f4bc, edf9, 0
f279, c5e5, 34bd, 13b9, 0
29e2, b68e, 237a, fb68, 0
abd3, f5f3, ec47, db61, 0
d8e1, 361c, dd0c, ae85, 0
b505, e75b, 6642, 17f8, 0
97c9, f130, 4a04, 2efe, 0
30c1, 1817, f23d, b802, 0
ec6b, 64e5, ccda, 328e, 0
babe, 352c, de77, 42e7, 0
fe01, 1870, f76d, 4fc3, 0
9cff, e6d3, 1af6, fde0, 0
5541, 1707, e396, ce87, 0
dbcd, 54d4, 1d21, d445, 0
f727, b156, e67e, f1ba, 0
ebef, b2f6, 09b7, d1c9, 0
26da, b2fa, fbad, 24e4, 0
baa9, 28a1, 5a83, 1800, 0
dc19, 18a4, 18d7, bbf3, 1
e05d, 034f, f243, 9b2f, 0
5cf2, 1da8, fc98, b0e2, 0
b917, dfb3, f19f, 3fb6, 0
d134, 5131, 1864, 3f6d, 0
590a, 2120, 44a5, 1b2b, 0
dc78, 29ae, f261, 6867, 0
1a01, 144d, dd3f, 3bcc, 0
1aac, ac3c, 0210, 5ece, 0
d33d, 053a, 58f9, 199c, 0
580c, 1444, d869, 5279, 0
3275, 02cd, 5cfd, ee7b, 0
f294, 441c, 03bf, 17a4, 0
3e83, d269, e471, 29e1, 0
dca4, 454f, f48d, 53cd, 0
c055, c044, 5ba7, 0fa7, 0
de92, 3639, 0290, a3d6, 0
db53, 1741, 540d, e5de, 0
ac31, 165d, 344c, d556, 0
b6e6, dfd5, 92d9, 055e, 0
eb6f, 354f, 0280, 6585, 1
26db, 5642, 087c, 6a7f, 0
2959, bf96, c5b6, 174b, 0
353a, 314b, bacb, e598, 0
3d56, 05b7, d47f, f058, 0
dba2, d533, 6000, e2cb, 0
d264, 4b12, 999f, 02f5, 0
11fa, 4a80, d682, 1b6d, 0
bbe6, e287, 134a, 648d, 0
cd13, cfe4, 04f0, 48a2, 0
d712, 476e, e2f8, bc33, 0
be7a, 1cd5, 142e, 56d3, 0
fc40, 928d, f6d2, 96be, 0
e464, b260, 5204, 2716, 0
ac17, 0d7e, 01f5, beb7, 0
566e, f249, 1213, 04f0, 0
b477, 30d4, d5f0, ec95, 0
c4ac, 2d1e, 11fa, 5528, 0
d684, f154, abcc, f3f6, 0
c203, f311, e8c2, 51f4, 0
1899, 620d, 44c4, 1a50, 1
1991, e6e8, 5af5, e460, 0
5aa9, 0f27, 01f1, 455f, 0
013a, 16f8, f9ac, d8fd, 0
f3e1, e85e, 13e5, 3cba, 0
1b1b, 348c, ffe6, 31cf, 0
fe35, ac32, 4f09, 1f6a, 0
5f34, fe96, 17d4, 67b9, 0
c4f6, 2898, f69b, 3fc4, 0
f5e8, 0c6b, e6f2, 4c5f, 0
22ba, 22d3, ed40, bd34, 0
2fb3, c246, c9b4, ec19, 0
d03f, e325, fcb1, 57b5, 0
c472, 0f9f, f599, c623, 0
f1bb, 06ac, 34f1, f0c1, 0
b03b, 07e9, 2265, aa4e, 0
afee, 296a, 2e58, ae77, 0
3d5e, 30ec, f999, 4076, 0
cf3d, 1c00, 04dc, cef8, 0
eba1, a062, da98, b05c, 0
bb83, 288e, f0f6, e73a, 1
4c1d, 29b2, 0cef, e196, 0
24d6, 1427, 4053, f013, 0
4f4c, 0fa6, 0182, 9bf9, 0
58e6, f019, 2e33, 4430, 0
aebe, 242d, d533, b278, 0
03c5, f61f, 026a, 6a4e, 0
3c19, 0ffe, 01bb, d65d, 0
c0a1, 3d12, 1c95, fb83, 0
de6a, a8e0, 07b8, 0740, 0
3ad6, 144a, 08b8, af47, 0
2b8f, 3b8d, b0b7, 0380, 0
000e, e1ee, 4f6b, e9bc, 0
160c, 4305, 0037, edfa, 0
918a, fa9b, 2c2d, 4996, 0
f839, bd86, 0a47, 6ad6, 0
6318, 02bf, 52ad, ec70, 0
f469, 38e9, 9c28, f528, 0
fa7b, 050f, da8d, b003, 0
38d4, 2ec7, 9a5f, f464, 0
0492, 1191, 23fb, 3a3f, 1
bbe4, 2ee8, 0b36, 094d, 0
d11a, ccec, c24c, eb11, 0
c801, ccc1, ec97, 0131, 0
efa3, ba47, f414, 638f, 0
41ef, 0f95, fb33, ce6e, 0
d091, eb05, 5685, 1d56, 0
fcc1, 0043, 4532, 2524, 0
f4c7, caaa, ca2c, 1b68, 0
54c2, 207b, bb57, 1985, 0
c05b, 33af, f7f8, 90ae, 0
d61c, c835, 8700, 02f2, 0
37b0, 25de, 1f04, 5d66, 0
f07b, 4ee5, da1d, dc82, 0
e315, a1d1, 1801, 360e, 0
d047, f190, 423b, e7dc, 0
f475, 42ae, 1c32, c1dc, 0
3a36, c9ed, f47a, f882, 0
f97f, 165d, f2b5, 3c28, 0
e3fa, 3b1f, f12c, 0e2a, 0
f298, 5f02, b32b, f6f5, 1
e31d, a7bb, 2988, 1077, 0
b30a, 2fed, e594, e148, 0
2b3d, edd8, b8b4, f2a2, 0
f425, a969, 16dd, 56dc, 0
c722, 1667, 0e64, 178a, 0
d802, 02b5, 5f66, 14c1, 0
cff8, 2d51, 5340, dfa4, 0
df99, d7e3, ef1a, 2a7a, 0
0129, 1c51, 19fa, 516d, 0
3452, 25ef, da2b, 3fbe, 0
2b1c, d9e7, 6776, fb4d, 0
636a, ffa7, ffcb, ef87, 0
993a, ea00, 4db3, 0a74, 0
ccf2, e109, 121c, 334f, 0
19d4, 552b, b9bf, f447, 0
190b, b1d3, a1ae, f10e, 0
05a1, 08f5, 363b, bb6a, 0
00fe, 53e1, 509f, 185f, 0
e9db, e8d8, cb4c, 42b8, 0
d111, 0fbe, 0878, 1e75, 1
bb84, fe14, f9d7, 0464, 0
b000, e6b1, ccd4, 2da0, 0
1b5a, 136d, 1201, a57d, 0
46a4, 2217, ea20, 6102, 0
fd8f, 5afa, bf53, 1d4d, 0
9622, f96e, ea8c, d1bb, 0
364a, c544, 0f29, d1c6, 0
2e62, 3ea5, c33d, 22af, 0
fd79, 4394, 0d57, c38d, 0
024e, 6b67, e541, db72, 0
2c60, 2e2f, f3cd, e7de, 0
f2a6, da66, 9a39, e96d, 0
2ce5, 197e, f241, df37, 0
2c1d, ae00, fea3, c487, 0
4e87, 0ed1, feb3, e596, 0
222f, b386, 3979, 0ba8, 0
00a4, b2d5, cb1a, fa0f, 0
8c90, f514, 50bf, d1f3, 0
068f, b7de, 3f4c, 0f63, 0
1942, 452c, bad1, 1bf3, 1
fe7f, f42b, c10e, 2c4e, 0
18a8, 5c21, f80e, 8ee9, 0
ef1f, 3264, 25c6, 0278, 0
0c0c, da54, edbc, 6698, 0
5d3d, 167d, f029, 1352, 0
b17c, 0849, 31ac, e4aa, 0
441f, 1fd6, 485d, 18c0, 0
418c, fadb, 2851, b362, 0
3426, d304, 2448, 54c6, 0
0ba2, 414c, 3e94, dc27, 0
cb3c, ca1e, b07e, 15b6, 0
50c7, 0580, 62bf, 0a8e, 0
171d, 6230, fcf9, 5dd9, 0
4f4a, de2e, e9cf, 42dd, 0
39d1, 11c8, 19a0, d909, 0
dba5, 1d59, ffe2, 52a4, 0
a81d, 1f6f, 137d, 052d, 0
0813, a043, 1a48, 0fe0, 0
f636, 2461, e1b7, 297e, 0
beb1, d2f7, ad53, 0e19, 1
1835, f8a4, dbd1, 2c71, 0
22d4, f4da, 1435, a5af, 0
2136, b0ac, 02de, 260a, 0
3644, 1b11, cb98, 02bb, 0
5b25, 0ea4, fb12, 52cb, 0
0e8f, 70c2, f0c8, 0f96, 0
3f7a, 3a0e, b925, 06d1, 0
bf69, 0a7b, 129c, 3e84, 0
58db, ee44, 2689, ac1d, 0
cf51, fa99, 536f, 1238, 0
4a1e, 0398, 1ad2, ff5c, 0
05d3, a0dd, a4a7, e220, 0
43b8, f3f3, 2dce, 18b5, 0
47b7, e0e2, 042a, f5ef, 0
36a0, 461c, 602e, fe1b, 0
12d2, 1987, d6e0, 561f, 0
b5f0, 0228, 24a9, 0929, 0
1820, bd22, d6be, 3814, 0
2c5f, dfe3, 0552, 5395, 0
3215, 348d, db2d, 0b7b, 1
35d8, f8a3, a42e, e017, 0
e9f3, b6e1, 0472, 3c8a, 0
da22, e387, 5345, 1cb5, 0
5047, 0240, 0943, c1fc, 0
17b8, 24b3, 76d6, 04e8, 0
9f04, ebcf, 1f55, f8cd, 0
0f9f, fd94, 1dc8, 48c2, 0
972d, 0577, ba95, 3049, 0
03e5, 4b2c, e7d9, 3303, 0
16c9, da96, 2938, bdbb, 0
a18c, 13ff, 084e, 8b1f, 0
e167, fed9, 1976, e660, 0
fe26, 4e75, e9ea, c2df, 0
18a6, d6d2, 1c9b, b339, 0
d777, 1eda, 39b9, f010, 0
a4d8, dd78, d6f0, c988, 0
e73f, e2af, cf95, 38e0, 0
f59f, 320d, fd7d, 6a00, 0
c135, df9e, e382, 541e, 0
d9fc, 107d, fd81, 0492, 1
83a3, fe18, 50b5, 1fb5, 0
eb44, 1817, 0be8, 1ef0, 0
ef8e, d194, 06fe, 9994, 0
fd1e, f152, a8f4, 101f, 0
e74a, aba9, dcb9, 2770, 0
1a10, c4d7, f870, bd16, 0
a406, 1cfb, 1189, b73a, 0
bba6, efee, feb6, 7d69, 0
cbd2, 2cdc, 338c, e0cb, 0
b00c, 0b43, 1c45, 53b1, 0
c934, fb2e, 1078, 5362, 0
fb4f, fabd, c972, 21bc, 0
cfbc, d858, 31a2, dab5, 0
f18b, bb92, 70e8, ff1f, 0
f2df, 9bbe, ebac, a7ba, 0
5954, 01e7, ad06, 0966, 0
e20f, a3d1, 57a4, f31e, 0
c16c, dadc, db4e, a761, 0
cccc, 0d33, d15f, d18d, 0
11b2, 0ede, c371, fee5, 1
214d, 1a00, ddaf, c6c4, 0
f3f2, d09b, 0484, 36f4, 0
59e5, f4b4, 9b1c, e60c, 0
99e0, 12a3, 61e2, 11d5, 0
1619, 98fd, d0db, b053, 0
e011, ebac, 1672, 4d77, 0
f4ef, d596, 2a72, e8e1, 0
da48, 4818, e4df, b15f, 0
4b00, 2c48, b663, 1c27, 0
cf7f, c642, e208, 4831, 0
16bd, 2ab9, a7f1, 1aa9, 0
4d4f, 0ebd, 11e1, 50c3, 0
d04f, 0137, 41e9, d81b, 0
e578, a4ef, e211, 4e14, 0
3fd3, 3412, 7df0, fe89, 0
4c98, ff70, 6746, efe1, 0
116c, 2241, d6a7, 2151, 0
cf17, 4c6a, c4ae, 0184, 0
a32c, e3a5, bac3, 13b8, 0
1655, e9b7, ec90, 1f4c, 1
d925, b521, 49d2, 2bbf, 0
6ca8, eeec, e628, 2fb1, 0
15bd, 16d5, c983, 344d, 0
1be9, b77a, fdfc, f8db, 0
c5dd, 18d9, 1572, 55d2, 0
b240, ce5f, 5d11, 14e7, 0
ebd6, a90a, 2cb9, b974, 0
31ca, bb70, d99c, 257b, 0
af60, 0e0c, 199f, 060e, 0
63b6, 099b, 765e, f8e7, 0
f260, 0616, 4739, ca6e, 0
9870, eae4, 10af, 0c81, 0
e687, a918, f3bf, 65db, 0
050a, e5a5, f478, c314, 0
0cc9, 513d, 34da, 050c, 0
059f, 59d4, 03ea, 0c7f, 0
34dd, ba69, 0e18, b367, 0
acf2, 0caa, 2484, 31b7, 0
9756, 09de, 0ab0, d543, 0
229a, be0b, b75e, e658, 1
5f8a, f4c3, 3263, 2bff, 0
224b, 0b0b, 1189, 2708, 0
1032, 51fa, 9f68, 1900, 0
f000, 15ba, f4d7, dc6c, 0
d93a, 5135, bcef, e762, 0
c081, 35b1, 10e5, 4167, 0
2134, ec56, 2781, 521f, 0
094a, d203, f922, 2dcc, 0
0bb7, 258c, 1aae, 0158, 0
f83b, 35e2, 317d, 22a8, 0
48b2, 0002, 38da, 1ef6, 0
bc2b, 3ab7, c025, c2b5, 0
42ae, 0692, 17b0, 553b, 0
0159, e386, 3847, 137e, 0
0845, ddce, 5b09, f037, 0
5292, 038e, 16b1, 2f79, 0
fea2, 6909, 3849, eb41, 0
094e, 3b3b, 543d, f52e, 0
bc1b, e44d, e4df, 0f85, 0
09fa, 4ac1, 2f70, 063f, 1
c7ce, 00d3, 4a06, 0dcf, 0
38c6, 29eb, e12b, f22a, 0
f41e, d822, 7da3, 0021, 0
0cf5, 64f9, e6d2, f635, 0
e7a0, 59fc, 3ccd, 0894, 0
e655, f9cd, 19ad, 44dd, 0
d06b, 3ff9, 65d5, f644, 0
fe49, b255, 5bca, 0b7a, 0
e767, 0696, 8408, fd64, 0
1224, eebc, 5bbf, 01b8, 0
a123, eddd, f553, e5d9, 0
0f84, cfd6, 0a56, 5ec5, 0
7d7b, fdba, 2cb8, e6ba, 0
cc88, 1de5, 1904, a611, 0
110e, c56a, 0012, b37c, 0
f8cb, 4b72, 03f5, 5eff, 0
a3b1, 2224, 02a1, f349, 0
2d36, 0050, 2e66, 1eb6, 0
da7f, 1817, b6c3, e5d4, 0
acfe, 12ad, 409e, 22ce, 1
eb8d, f4c0, baeb, 0901, 0
d453, 084c, f551, 03fc, 0
526c, 2355, 526c, 1498, 0
be65, d1a7, 45b6, c5ed, 0
fb08, bfed, ee72, 9b53, 0
0366, 1ea3, 0316, 1097, 0
2377, b946, 2ac1, 2ca4, 0
263d, ea48, 2cbe, e890, 0
51ec, 2bfc, f223, 6682, 0
41a8, 0753, ef7c, b7a3, 0
e824, 98da, 41d5, 2817, 0
f59b, 29fc, d071, 2bf0, 0
1a51, ec26, 0cf2, 6462, 0
3d5b, d8ab, a56d, dccf, 0
2109, 2951, d860, d821, 0
f10e, 5d19, 1210, ad6c, 0
f645, dd9f, 33f0, f81e, 0
62df, fd36, 1e70, b972, 0
2a1b, ca8a, 154d, 4b26, 0
dc54, 0603, 4ce6, 09ce, 1
5384, f8dd, b823, c7f1, 0
3f1b, e894, e00c, 2c7e, 0
9e99, fd49, ec93, 2b45, 0
e67a, 4948, 3be1, e368, 0
2d2f, 4388, dea4, 019f, 0
d648, 1e4a, e80d, f3d8, 0
2560, c1e4, 57ee, df44, 0
9e39, 0e73, 3669, f1f7, 0
125a, 590e, e25b, 9f20, 0
ea6d, 69bb, 1680, ec07, 0
c5fb, 1eb1, ba77, 05ed, 0
25d0, b58d, 0c4a, 2e31, 0
fe03, 1900, 3fa9, ef35, 0
f72d, ee5b, 2479, 18fc, 0
0f25, fa7f, 22b2, 47b0, 0
f578, 5e41, 8de4, 0b74, 0
0ea9, 4887, fb0b, 7ae3, 0
0e3e, 597f, d6a1, 1468, 0
0e12, 3a49, be99, d4da, 0
e087, b437, a6ae, e470, 1
3995, 1352, cdfe, 2771, 0
ac56, 02ca, 94ef, f11e, 0
2731, 07a5, b7f8, fce7, 0
d37d, e08d, e407, c42e, 0
0165, 580e, ff1e, b4e0, 0
d7f9, 4147, cec8, 0661, 0
1e8f, 539e, 48da, 1715, 0
f0cb, 8fb0, 0272, a733, 0
287f, 4c6e, a6f5, 2522, 0
02f1, a331, 3d50, 0899, 0
cfcb, c512, e150, 2214, 0
4607, 075d, 1b5f, 3a8e, 0
cc5f, 1afd, c4dc, 00af, 0
6085, 1f4d, f6c7, f070, 0
d747, ae44, 0c88, 8f17, 0
df81, f88b, 367d, 0788, 0
fd4f, 1a03, 9e91, 163b, 0
725d, 0192, 0b3a, 915a, 0
68eb, e9bb, dbe5, fa40, 0
c546, 272e, 312a, 45b6, 1
3fde, 021c, 1962, d9e1, 0
04ca, 1fe9, e69b, 5c15, 0
0062, 7694, c884, c2d5, 0
0040, 8fc6, 2fef, cbbd, 0
a29b, dff4, b2ce, e27f, 0
337e, 46ec, 2462, b201, 0
0e5d, 3488, dcd2, 44b0, 0
997a, fcd0, e854, e5b7, 0
fb3a, 6b1f, 1a0e, dc8f, 0
d3b5, 086c, 0cdd, e308, 0
f436, a424, 1cce, acce, 0
fd1f, 1428, fc7c, d732, 0
5b7c, 1360, aa40, dbb2, 0
da8f, 26f9, e2a0, 2888, 0
3b00, fe2d, 0f0f, 5b38, 0
4f43, cfaa, edc6, e4a6, 0
1983, 208b, 62d9, e988, 0
ff30, 3772, e569, 0e6e, 0
ea1d, fe75, f9af, b8cd, 0
1bbc, 240a, e218, eeb1, 1
a8df, df2e, bfd9, 29fb, 0
00a8, 5bd2, d930, 31d2, 0
f417, be1c, 0ca3, 6b8c, 0
31db, 1304, 56b8, 161f, 0
0977, 717c, d463, 484e, 0
cbc9, c9da, f686, 4310, 0
0346, acf7, 101b, 2e16, 0
2af7, fa8e, ce63, 4bef, 0
fa45, 70e4, d0f5, fa19, 0
3df1, dac9, d1ad, 1184, 0
d03a, b31f, 4be2, ec09, 0
dd89, e4ed, ae10, d2ed, 0
8ae4, f885, 98a3, 10d5, 0
9700, ed15, 3489, fc7a, 0
38d4, c6fa, eb5f, da50, 0
e01a, 299d, e8d5, 4f93, 0
5f57, ee28, fbc0, e5e8, 0
1e98, 0cce, 1f42, fd20, 0
b86f, e401, 157b, 3e2e, 0
39dd, c201, 2c23, b258, 1
ba2e, e52c, 9b7b, fd2a, 0
1d1d, bb90, dd9f, 45ec, 0
eecb, 12ef, 2b3e, e4fd, 0
cafa, baff, 0534, 2faa, 0
9785, 0d18, 7056, 0b59, 0
1368, d402, c384, d89e, 0
381a, 4001, 072d, a7e0, 0
98a9, f32a, 092c, 6079, 0
e0fc, e8fd, a65f, 10da, 0
1614, ed8a, 84d6, 02e8, 0
eca1, 176b, e0cf, c5e3, 0
3073, b300, 0d0e, 3999, 0
f327, d588, daa1, db3f, 0
222c, 2967, e5a3, e0b9, 0
fd5b, 66ce, e313, d4dd, 0
2154, 15b8, 3ab3, 390b, 0
2c73, 4dd8, 29d3, ba61, 0
78bf, f958, 1918, 4b32, 0
ea40, a930, 27eb, 3d4f, 0
e83c, ccaa, 1055, ebee, 1
386b, bef0, 3388, 3299, 0
a586, ef43, cb82, ecf4, 0
2622, 13b3, 2877, 0818, 0
9311, fe30, f86e, 16a9, 0
ef2a, 6b28, fb20, 4152, 0
3585, 2cc3, 5d38, f241, 0
4fed, 09d9, c2b2, 02fe, 0
ed00, f26a, d3df, 2002, 0
1e17, 0565, f420, 9931, 0
1384, 0480, 8eef, f871, 0
5a18, 0ea1, 716d, 0bcf, 0
fbdd, c84f, fb92, f8aa, 0
ed32, 35d7, fba1, a0dd, 0
e71f, b7bf, f8ad, ef15, 0
1757, 1bbb, 2c0e, 3931, 0
efe1, c48e, 3ad6, 2f0a, 0
b632, e28f, 06f1, b220, 0
a8eb, 04f1, e050, 3f78, 0
0e2e, abd3, b0e8, ec65, 0
c312, f492, ca1e, b975, 1
ffce, ab8c, 6b17, 0dd0, 0
f92f, 3002, 4dd8, db50, 0
af67, 2b90, 9b51, 00a5, 0
2bd2, 3f4a, bb89, cb2f, 0
4585, 2bc0, b833, 03e2, 0
da88, 4036, ff9b, 0a8e, 0
48fa, 2afb, beda, c609, 0
1b5a, d2f9, 24a5, ef82, 0
c443, cfc9, 24fc, eb74, 0
0462, 0b0a, d4b0, dc69, 0
4d46, ddcf, 0873, 9a3e, 0
dc2a, 5c09, 1c13, cd51, 0
3580, 2430, 28de, 53bb, 0
e885, 326b, 1eed, ae20, 0
098e, ac2a, ff78, 71f5, 0
348d, bb62, c068, 2e71, 0
bbad, eb88, 286d, ab8e, 0
514a, d1e0, 1dd6, 1244, 0
0513, 2ac8, 31a2, 2dcb, 0
c022, e7ec, dd9f, 32d5, 1
21b5, 235e, 3a96, 1ac2, 0
0f17, b2fe, ee9b, 3b09, 0
1fd6, 17f2, e222, 6164, 0
4d37, ea14, 5051, 1975, 0
f69d, e55f, 4b5c, cfc7, 0
542e, 11da, d736, fc78, 0
fd74, 6f9a, 4292, 0bda, 0
d2af, 4feb, f9b6, 4152, 0
e3c5, 0658, 376c, 3903, 0
f210, 96ab, 1b09, d284, 0
fa31, 0e99, 0241, aed9, 0
01cf, 8a2a, 1a4f, 31f5, 0
d60a, 0088, c005, d12e, 0
b346, 1dcc, f4fa, 5470, 0
bc9a, 0656, 5036, f910, 0
df7c, 3962, 015c, 471a, 0
efdd, 9138, fd07, c84a, 0
fd8a, c822, 3f24, f750, 0
be9b, 180b, f3e0, 393f, 0
3bf0, fcb4, ea07, 03c4, 1
3b34, edd6, 2f0d, f20f, 0
b864, ce8c, 1a6f, 3c5c, 0
d14b, 166e, 344d, 2056, 0
fc4d, df36, 12f3, 4e93, 0
f78b, ec3d, 3399, fbcb, 0
a606, 21e3, df38, b72e, 0
1388, f0c5, 328e, f720, 0
1185, 072a, d018, c977, 0
0d78, 628d, 1633, fbea, 0
5413, e396, 3681, efff, 0
db7c, 399f, 00ca, 8f37, 0
c227, f719, 1b42, a4b3, 0
9c87, 1af7, a982, 25f7, 0
f407, 3229, 49b3, 2cc3, 0
31c1, cde8, dfb1, abef, 0
533b, 1707, f504, 2b61, 0
2818, d545, 1d45, 32d6, 0
e938, f259, f9ee, f2a3, 0
055c, 733f, 2791, 1128, 0
349d, 2166, 0a5d, fd45, 1
ebd1, e508, 11f3, bace, 0
2ff3, cccc, d5e1, 1ac1, 0
a2f0, 13ef, 02fc, aea1, 0
9945, fa43, 0df1, 58da, 0
0b64, 6105, d853, 0b75, 0
e544, e3f9, aff6, 0b42, 0
6998, 1562, bc7e, 2868, 0
d3d0, c37d, f8f4, f360, 0
bbcc, 26a1, 075f, 6670, 0
a199, 1f8e, d21d, c0ac, 0
12b4, 29fd, e8ce, fab8, 0
f6af, 420f, f813, 6494, 0
a9fa, ee4a, 92aa, f3c5, 0
f774, 53e2, e075, 3e40, 0
e07b, b196, edad, 6c74, 0
10d4, 6007, eff6, e9d8, 0
407a, e187, c06e, d740, 0
0d0a, 964d, e024, d85a, 0
08ba, c226, d66a, ed45, 0
14c0, 44b7, 047c, bc9e, 1
142b, 368f, cce6, 3612, 0
cf9a, b1cc, 183f, 1087, 0
adfa, 06d1, d484, d44f, 0
4d7b, 079d, d50b, ccb3, 0
f8e8, 4105, 9bca, ed06, 0
c9ec, cc6f, eb20, 2c48, 0
22bc, e483, feb0, 88ae, 0
4b00, 3172, dee8, 4430, 0
c2e9, 2c91, 15d4, 1fe9, 0
faa5, 1fe7, e5ec, da7b, 0
0fb6, 9986, f8c7, a656, 0
1d60, e89a, 0221, 18eb, 0
d1f1, 2a4e, e8e8, bfee, 0
096f, a1be, e193, 0543, 0
279b, f447, f3ce, 2f92, 0
3822, c90e, 4b78, e7e9, 0
d815, decc, 16a7, f6af, 0
eedf, 4acc, cce9, 0674, 0
f174, c994, 20dd, b208, 0
1548, ba7c, 2521, 2a07, 1
1f0c, f5a6, 1edb, a86d, 0
fc9b, 541b, f48e, d2f7, 0
fcd5, a006, bd42, 35f7, 0
b77f, cf44, f266, f37d, 0
ac0f, 06a7, 5ae8, f60f, 0
eeb7, 9d9c, 0982, 26c9, 0
1857, 6484, 1a1b, c6c4, 0
03c5, a7a0, ec29, ca1d, 0
bff1, 12d7, a067, f944, 0
c239, da64, eafe, aaa6, 0
6650, 081e, 219c, fe46, 0
2bec, 4843, d17e, 01a0, 0
1c6b, 6145, 0131, 8c4b, 0
cf05, becc, a494, f2ac, 0
37b4, e04d, 03ab, 3d4f, 0
9a91, 0269, 4b59, 2b87, 0
00f6, 5523, 346d, cb23, 0
096e, 7620, 8bd6, 0694, 0
c5f7, 233d, 36f0, f66c, 0
bb57, cb51, a002, f430, 1
f7ad, 2faa, d6eb, bec1, 0
9297, f829, f979, ff22, 0
2ea1, eae7, 9e37, 1c58, 0
ce71, 1f96, 24b6, 34f1, 0
fb67, e2d0, edac, 449f, 0
2a36, 10bc, bdfe, c5e1, 0
f247, 4b30, ca35, 1b36, 0
c1d8, 1dd7, 0eed, 1afb, 0
4f57, f68b, 5d82, e818, 0
c2cb, 00ee, 0d9f, 2ac1, 0
f5b7, 98a2, eff9, 6279, 0
6d01, f9f6, 2a81, 5080, 0
f7d3, d9ee, 0759, ab48, 0
0be3, 73f5, e7be, 0ba0, 0
d934, d9bc, c19e, f223, 0
4dc2, 2a24, f48d, bf1d, 0
7336, 06a2, 2008, e01d, 0
07ca, f831, e8db, 3317, 0
e58c, fafe, 66a5, 17db, 0
d95a, 2d1b, c0fc, de88, 1
fc50, ae1c, c59d, ea16, 0
ba05, da3d, 18e5, ebb1, 0
bfed, 1609, e31d, 416b, 0
f35b, d158, 1fe3, 31fe, 0
b035, f259, b5c3, 3415, 0
e195, de04, 35cd, 173f, 0
5abf, 1f34, b4c8, 0b8c, 0
d65b, 0a8a, 24a7, 4ee3, 0
ddc1, cb37, 5256, ffa3, 0
06f7, 5438, 22b4, eeaf, 0
d5f6, 1f6d, e624, b264, 0
ee42, 07ec, 234e, f059, 0
e0a1, de51, e834, df8f, 0
df21, 2f74, 13dc, 31ad, 0
122d, bf7f, d694, e65a, 0
175b, 2e11, 4eea, 2ec3, 0
0031, 67ba, ba2f, f1fd, 0
68f0, f4d7, a6aa, 115e, 0
3647, 35e4, 127c, eac6, 0
f2ab, 1da6, 2910, 39ba, 1
25d0, 05fd, f545, e431, 0
0425, f7d0, f80c, afa0, 0
e1ff, 60fc, b5cd, dead, 0
f359, 65e0, ef15, 15e5, 0
2efb, 3b64, cc05, c502, 0
e068, a3ea, 2eff, 3fbb, 0
5677, eddc, 1f2d, 135e, 0
030a, e117, d30a, d180, 0
f1b8, 2e6f, 07c3, dca6, 0
2c17, 5086, eaa2, 9651, 0
fa5c, 6858, f26e, cfc4, 0
d233, f15d, e92f, a3c9, 0
d50e, c5ba, 1615, 53e5, 0
f4a4, c7ca, bebf, f42b, 0
f79b, f122, 38f6, 09f4, 0
f678, 5b34, dc3c, e125, 0
1892, f1ed, d324, b4c2, 0
19fd, 1afb, 23d7, bd69, 0
d6f7, 4dff, f1db, f624, 0
cbc1, f1e2, ccc7, ba9b, 1
6433, f575, 5807, ea92, 0
3251, d012, 0997, 3b15, 0
e1bd, ef46, 5047, fdca, 0
ba8c, 158f, e385, d399, 0
1bde, c0e6, f59e, 1d1e, 0
272c, 18a2, 3879, ea77, 0
6462, e8d9, b8fa, ff42, 0
412c, d89b, 30df, c174, 0
312b, 030d, a922, 2153, 0
4f5b, 21f4, 0219, 7d6e, 0
1167, f7da, dfd8, ee8e, 0
40ac, 34c3, 3f93, 3334, 0
1280, ed2a, f2e6, 7068, 0
f3e3, 3c7a, beb6, 3513, 0
fe66, 2976, 1e23, b7e8, 0
